mass_A
t	x	y
3.175911111111111	494.31948881789117	319.9744408945687
3.216111111111111	495.68690095846637	302.1980830670926
3.256311111111111	475.1757188498402	236.56230031948883
3.296511111111111	442.3578274760382	142.21086261980832
3.336711111111111	383.5591054313097	35.55271565495207
3.3770222222222226	249.55271565495195	-68.37060702875402
3.4171444444444448	73.1565495207667	-134.00638977635788
3.457266666666667	-125.11821086261989	-124.43450479233229
3.4975555555555555	-279.6357827476039	-45.124600638977654
3.5378444444444446	-371.2523961661342	46.49201277955274
3.577944444444445	-434.1533546325878	164.0894568690096
3.6181555555555556	-462.8690095846646	233.82747603833866
3.6583666666666668	-471.07348242811497	266.64536741214056
3.698577777777778	-464.23642172523967	244.7667731629393
3.738788888888889	-436.888178913738	177.7635782747604
3.7790000000000004	-398.60063897763575	79.30990415335464
3.819211111111111	-315.188498402556	-10.939297124600614
3.8594222222222223	-198.9584664536742	-94.35143769968056
3.8996333333333335	-47.17571884984034	-138.10862619808302
3.9398444444444447	116.91373801916927	-128.53674121405754
3.980055555555556	264.5942492012779	-58.798722044728436
4.020266666666667	364.41533546325877	25.980830670926537
4.060477777777778	425.9488817891372	112.12779552715654
4.100577777777778	468.3386581469647	188.70287539936103
4.140677777777778	487.48242811501586	239.29712460063897
4.180977777777778	487.48242811501586	254.33865814696486
4.221177777777778	482.01277955271553	216.05111821086263
4.261377777777778	449.1948881789135	131.27156549520765
4.301577777777778	389.02875399361005	31.450479233226815
4.341777777777778	289.2076677316293	-64.26837060702877
4.381977777777778	118.28115015974436	-142.21086261980827
4.422177777777778	-67.68690095846648	-140.84345047923318
4.462377777777778	-219.46964856230034	-82.0447284345048
4.502577777777778	-349.37380191693296	13.674121405750782
4.542777777777778	-409.5399361022364	108.02555910543128
4.582977777777778	-447.82747603833866	177.7635782747604
4.623177777777778	-465.60383386581475	222.88817891373802
4.663377777777778	-456.03194888178916	214.68370607028754
4.703577777777778	-431.4185303514377	157.2523961661342
4.743777777777778	-376.7220447284345	75.20766773162939
4.783977777777778	-300.14696485623006	-16.40894568690095
4.8243	-172.9776357827476	-95.71884984025564
4.864377777777778	-36.236421725239666	-142.21086261980827
4.904588888888889	111.44408945686894	-131.2715654952077
4.9448	252.28753993610212	-73.8402555910543
4.9850111111111115	360.3130990415334	6.837060702875419
5.025222222222222	427.3162939297124	90.24920127795525
5.065433333333334	466.9712460063897	161.35463258785944
5.105644444444445	484.7476038338657	210.5814696485623
5.145855555555555	484.7476038338657	216.05111821086263
5.186066666666667	471.07348242811486	177.7635782747604
5.226277777777778	438.2555910543131	98.45367412140575
5.266388888888889	367.15015974440894	0.0
5.306500000000001	263.2268370607028	-77.94249201277955
5.346777777777778	85.46325878594246	-132.6389776357828
5.3870555555555555	-88.19808306709274	-128.53674121405754
5.427188888888889	-237.24600638977643	-61.5335463258786
5.467322222222222	-334.33226837060704	13.674121405750782
5.507588888888889	-402.702875399361	101.18849840255592
5.5478555555555555	-432.78594249201274	161.35463258785944
5.588	-447.82747603833866	194.17252396166134
5.628144444444444	-440.99041533546324	164.0894568690096
5.6684	-401.3354632587859	101.18849840255592
5.708655555555556	-332.96485623003196	15.041533546325866
5.748811111111111	-246.8178913738019	-53.3290734824281
5.788966666666667	-133.32268370607028	-120.33226837060704
5.829122222222223	4.785942492012737	-136.74121405750793
5.869422222222222	155.2012779552715	-123.0670926517572
5.909611111111111	276.90095846645363	-54.696485623003184
5.9498000000000015	376.7220447284344	25.980830670926537
5.989988888888889	431.41853035143754	92.98402555910542
6.030177777777778	465.6038338658145	154.51757188498402
6.070366666666667	479.27795527156536	201.00958466453673
6.110555555555556	471.07348242811486	172.29392971246006
6.150744444444444	445.0926517571884	120.33226837060704
6.190933333333334	399.9680511182107	46.49201277955274
6.231244444444445	301.5143769968049	-54.696485623003184
6.2715555555555556	182.54952076677318	-101.18849840255587
6.311644444444445	15.725239616613408	-142.21086261980827
6.351844444444445	-151.09904153354637	-112.12779552715654
6.392044444444445	-268.69648562300324	-46.49201277955274
6.432244444444445	-356.2108626198084	35.55271565495207
6.472444444444445	-416.37699680511184	114.8626198083067
6.512644444444445	-436.888178913738	154.51757188498402
6.552844444444445	-443.7252396166134	165.45686900958464
6.593044444444445	-409.5399361022364	113.49520766773162
6.633244444444445	-365.78274760383385	36.92012779552715
6.673444444444445	-282.3706070287541	-34.18530351437698
6.713644444444445	-196.22364217252402	-91.61661341853039
6.753844444444445	-63.58466453674123	-135.37380191693296
6.794044444444444	89.56549520766771	-134.00638977635788
6.834244444444445	211.26517571884972	-91.61661341853039
6.874444444444444	327.4952076677316	-20.5111821086262
6.914644444444445	399.9680511182107	57.43130990415335
6.954844444444444	443.7252396166134	127.1693290734824
6.995044444444445	456.03194888178905	157.2523961661342
7.035244444444444	466.9712460063897	169.5591054313099
7.075444444444445	445.0926517571884	127.1693290734824
7.115644444444444	405.43769968051106	57.43130990415335
7.155844444444445	334.3322683706069	-23.24600638977637
7.1960444444444445	220.8370607028753	-97.08626198083073
7.236244444444445	75.89137380191687	-128.53674121405754
7.2764444444444445	-103.23961661341855	-135.37380191693296
7.316644444444445	-233.14376996805117	-77.94249201277955
7.3568444444444445	-327.4952076677316	2.7348242811501677
7.397044444444445	-387.6613418530352	77.94249201277955
7.4372444444444445	-428.6837060702876	124.43450479233229
7.477444444444445	-431.41853035143765	142.21086261980832
7.517644444444445	-404.0702875399361	106.65814696485626
7.557844444444445	-373.98722044728436	50.59424920127793
7.598044444444445	-297.4121405750799	-27.34824281150162
7.638433333333333	-201.6932907348243	-86.14696485623006
