Time	6	12	24	48
0	94	96	95	93
10	94	95	95	93
20	93	94	94	91
30	93	92	94	89
40	92	90	92	85
50	89	87	89	80
60	85	84	84	76
70	81	80	80	71
80	76	76	75	67
90	71	72	70	62
100	68	69	66	57
110	65	66	61	55
120	64	62	57	51
130	64	60	53	47
140	65	55	50	44
150	66	55	47	42
160	67	56	44	39
170	68	57	41	36
180	68	60	38	34
190	66	62	35	32
200	64	64	33	29
210	61	66	31	27
220	58	69	29	26
230	56	71	27	24
240	56	74	25	23
250	57	75	24	21
260	58	76	23	20
270	60	77	23	19
280	62	76	24	17
290	64	75	26	16
300	64	72	30	15
310	62	69	34	14
320	60	66	39	13
330	58	63	43	12
340	55	59	47	11
350	53	56	51	10
360	53	53	54	10
370	54	50	57	9
380	55	48	60	8
390	57	47	63	8
400	59	47	65	7
410	61	49	67	7
420	61	51	69	6
430	59	54	71	6
440	57	57	73	5
450	55	59	75	5
460	53	62	76	5
470	51	65	78	4
480	51	67	79	4
490	52		80	4
500	54		81	3
510			81	5
520			80	11
530			78	16
540			75	22
550			71	27
560			67	33
570			63	37
580			60	42
590			56	46
600			53	51
610			49	53
620			46	56
630			43	60
640			40	63
650			38	65
660			35	67
670			33	69
680			31	71
690			29	73
700			27	75
710			25	77
720			24	78
730			22	79
740			21	81
750			22	82
760			25	83
770			29	84
780			34	85
790			38	85
800			42	86
810			47	87
820			51	87
830			54	88
840			57	89
850			60	90
860			62	90
870			65	90
880			67	91
890			69	91
900			71	92
910			73	92
920			74	92
930			76	92
940			77	93
950			79	93
960			80	93
