Chart Recorder Data File Wed, Feb 08, 2023 11:04 AM
CH1 (V)  	CH2 (V)  
-0.468457031	0.025878906
-0.468457031	0.022460937
-0.468457031	0.022949219
-0.468457031	0.020996094
-0.452841797	0.021972656
-0.452841797	0.020507812
-0.468457031	0.021972656
-0.452841797	0.020507812
-0.468457031	0.021972656
-0.437226562	0.020507812
-0.312304688	0.022460937
-0.202998047	0.020996094
-0.093691406	0.022949219
0.031230469	0.021972656
0.140537109	0.023925781
0.265458984	0.021484375
0.359150391	0.023437500
0.484072266	0.021972656
0.608994141	0.023925781
0.718300781	0.022460937
0.827607422	0.023925781
0.952529297	0.022949219
1.061835937	0.024414062
1.186757813	0.022949219
1.296064453	0.024414062
1.405371094	0.022460937
1.530292969	0.024902344
1.639599609	0.022949219
1.748906250	0.024414062
1.889443359	0.023437500
1.983134766	0.024902344
2.108056641	0.023437500
2.217363281	0.025390625
2.342285156	0.023437500
2.451591797	0.025390625
2.560898438	0.023925781
2.685820312	0.025878906
2.810742187	0.023925781
2.920048828	0.025390625
3.029355469	0.023925781
3.138662109	0.025390625
3.263583984	0.023437500
3.372890625	0.024902344
3.497812500	0.022949219
3.607119141	0.024414062
3.732041016	0.023437500
3.825732422	0.024902344
3.950654297	0.023925781
4.044345703	0.025390625
4.169267578	0.022949219
4.278574219	0.023437500
4.403496094	0.022949219
4.512802734	0.025390625
4.622109375	0.024414062
4.731416016	0.027343750
4.856337891	0.025878906
4.981259766	0.028320312
5.090566406	0.028320312
5.199873047	0.030273437
5.324794922	0.029296875
5.434101562	0.031738281
5.559023437	0.031738281
5.668330078	0.034179687
5.793251953	0.034179687
5.902558594	0.036621094
6.011865234	0.036621094
6.136787109	0.040039062
6.246093750	0.040527344
6.371015625	0.043457031
6.480322266	0.043457031
6.589628906	0.046386719
6.698935547	0.045410156
6.808242188	0.046386719
6.948779297	0.043945312
7.042470703	0.043945312
7.167392578	0.041015625
7.276699219	0.040039062
7.401621094	0.037109375
7.510927734	0.037109375
7.620234375	0.034667969
7.745156250	0.035156250
7.854462891	0.033203125
7.963769531	0.033691406
8.057460938	0.031738281
8.182382813	0.033691406
8.307304688	0.032226562
8.416611328	0.034179687
8.541533203	0.034179687
8.650839844	0.036132812
8.760146484	0.036132812
8.869453125	0.039062500
8.994375000	0.039062500
9.119296875	0.042968750
9.228603516	0.043945312
9.337910156	0.047851562
9.462832031	0.049804687
9.572138672	0.054199219
9.697060547	0.056152344
9.806367187	0.061035156
9.915673828	0.064453125
10.024980469	0.069824219
10.149902344	0.073242187
10.274824219	0.079101562
10.384130859	0.083007812
10.477822266	0.089355469
10.602744141	0.094238281
10.712050781	0.101074219
10.836972656	0.106445312
10.946279297	0.113769531
11.071201172	0.118652344
11.180507813	0.125976562
11.289814453	0.129882812
11.414736328	0.134765625
11.539658203	0.135253906
11.648964844	0.135742187
11.758271484	0.131347656
11.883193359	0.128417969
11.976884766	0.121093750
12.086191406	0.115722656
12.195498047	0.107910156
12.320419922	0.102050781
12.445341797	0.093750000
12.554648437	0.088378906
12.679570312	0.080566406
12.788876953	0.076171875
12.898183594	0.069335937
13.007490234	0.066894531
13.132412109	0.061523437
13.241718750	0.060546875
13.366640625	0.058105469
13.475947266	0.059570312
13.585253906	0.059570312
13.710175781	0.062011719
13.819482422	0.063964844
13.928789062	0.068359375
14.053710937	0.070800781
14.147402344	0.076171875
14.272324219	0.079101562
14.397246094	0.085937500
14.506552734	0.090332031
14.631474609	0.097167969
14.740781250	0.101562500
14.865703125	0.109863281
14.975009766	0.114257812
15.084316406	0.122558594
15.209238281	0.128417969
15.318544922	0.137207031
15.443466797	0.143066406
15.537158203	0.151855469
15.662080078	0.158691406
15.787001953	0.167480469
15.896308594	0.174316406
15.990000000	0.183105469
16.099306641	0.188964844
16.224228516	0.194824219
16.333535156	0.197265625
16.442841797	0.200683594
16.567763672	0.197753906
16.677070312	0.196777344
16.801992187	0.190917969
16.895683594	0.185546875
17.036220703	0.177246094
17.129912109	0.170410156
17.254833984	0.160156250
17.379755859	0.152343750
17.489062500	0.139648437
17.598369141	0.131347656
17.723291016	0.119628906
17.832597656	0.112304687
17.957519531	0.101074219
18.051210937	0.094726562
18.176132813	0.087402344
18.285439453	0.084960937
18.410361328	0.081542969
18.519667969	0.082519531
18.644589844	0.081542969
18.753896484	0.086914062
18.863203125	0.088867187
18.972509766	0.093750000
19.113046875	0.097656250
19.222353516	0.104492187
19.347275391	0.109375000
19.440966797	0.116210937
19.565888672	0.122070312
19.675195313	0.129882812
19.800117187	0.135742187
19.893808594	0.144042969
20.018730469	0.150390625
20.112421875	0.159179687
20.237343750	0.165527344
20.346650391	0.174804687
20.471572266	0.182128906
20.580878906	0.191894531
20.705800781	0.198730469
20.799492188	0.207519531
20.924414062	0.213867187
21.033720703	0.221679687
21.158642578	0.225585937
21.267949219	0.230468750
21.392871094	0.231933594
21.502177734	0.234375000
21.627099609	0.231933594
21.736406250	0.232421875
21.845712891	0.227539062
21.955019531	0.225585937
22.064326172	0.219238281
22.189248047	0.213867187
22.314169922	0.203613281
22.423476562	0.196777344
22.548398438	0.185058594
22.657705078	0.177246094
22.782626953	0.165039062
22.891933594	0.156738281
23.001240234	0.144042969
23.110546875	0.136718750
23.235468750	0.125976562
23.344775391	0.120605469
23.454082031	0.113281250
23.579003906	0.111816406
23.688310547	0.108398437
23.813232422	0.110839844
23.906923828	0.109863281
24.016230469	0.115722656
24.141152344	0.118164062
24.250458984	0.124511719
24.375380859	0.128417969
24.469072266	0.137695312
24.609609375	0.138671875
24.703300781	0.148437500
24.828222656	0.154296875
24.937529297	0.163574219
25.062451172	0.169921875
25.171757813	0.181152344
25.296679687	0.186035156
25.390371094	0.195800781
25.515292969	0.202148437
25.640214844	0.211914062
25.749521484	0.217285156
25.858828125	0.226562500
25.983750000	0.231445312
26.093056641	0.239257812
26.202363281	0.241699219
26.311669922	0.247558594
26.452207031	0.248046875
26.545898437	0.252441406
26.670820312	0.251464844
26.780126953	0.253906250
26.905048828	0.250976562
27.014355469	0.250976562
27.123662109	0.245117187
27.248583984	0.243164062
27.373505859	0.235839844
27.467197266	0.233398437
27.592119141	0.224609375
27.701425781	0.220214844
27.826347656	0.209960937
27.920039062	0.204101562
28.029345703	0.193359375
28.138652344	0.187988281
28.263574219	0.176757812
28.372880859	0.171386719
28.497802734	0.161132812
28.607109375	0.157226562
28.732031250	0.149902344
28.825722656	0.148925781
28.966259766	0.144531250
29.059951172	0.145996094
29.184873047	0.145019531
29.294179687	0.149902344
29.419101562	0.151855469
29.528408203	0.158203125
29.637714844	0.161621094
29.762636719	0.169921875
29.871943359	0.173828125
29.981250000	0.182617187
30.074941406	0.187988281
30.090556641	0.193847656
30.090556641	0.192871094
30.090556641	0.195312500
30.090556641	0.193359375
30.090556641	0.195312500
30.090556641	0.193359375
30.106171875	0.195312500
30.090556641	0.193359375
30.090556641	0.195800781
30.090556641	0.193359375
30.090556641	0.195800781
30.090556641	0.193359375
30.090556641	0.196289062
30.090556641	0.193359375
30.106171875	0.195800781
30.090556641	0.193359375
30.090556641	0.195800781
30.090556641	0.193359375
30.090556641	0.195800781
30.090556641	0.193359375
30.090556641	0.195800781
30.090556641	0.193359375
30.106171875	0.195800781
30.090556641	0.193847656
30.106171875	0.195800781
30.090556641	0.193359375
30.106171875	0.206054687
30.090556641	0.198730469
30.106171875	0.197753906
30.090556641	0.192382812
30.090556641	0.191894531
30.090556641	0.188964844
