Chart Recorder Data File Wed, Feb 08, 2023 10:59 AM
CH1 (V)  	CH2 (V)  
-0.468457031	0.022949219
-0.452841797	0.021972656
-0.452841797	0.023925781
-0.468457031	0.022949219
-0.343535156	0.023925781
-0.234228516	0.023437500
-0.124921875	0.024414062
-0.000000000	0.023925781
0.109306641	0.024902344
0.218613281	0.024414062
0.343535156	0.024902344
0.437226562	0.024414062
0.577763672	0.024414062
0.671455078	0.024902344
0.811992188	0.024902344
0.905683594	0.024902344
1.030605469	0.025390625
1.139912109	0.024902344
1.264833984	0.025390625
1.374140625	0.025390625
1.483447266	0.022949219
1.608369141	0.024902344
1.733291016	0.025390625
1.842597656	0.024902344
1.951904297	0.025390625
2.061210937	0.025390625
2.170517578	0.024902344
2.295439453	0.025878906
2.420361328	0.025390625
2.545283203	0.025390625
2.638974609	0.023437500
2.763896484	0.023437500
2.888818359	0.023925781
2.998125000	0.021972656
3.107431641	0.022949219
3.232353516	0.024414062
3.341660156	0.023925781
3.450966797	0.025390625
3.575888672	0.024902344
3.700810547	0.025878906
3.810117187	0.025390625
3.919423828	0.026855469
4.013115234	0.026367187
4.122421875	0.027343750
4.247343750	0.026367187
4.356650391	0.027832031
4.481572266	0.027343750
4.606494141	0.029296875
4.715800781	0.028808594
4.825107422	0.030761719
4.934414063	0.030761719
5.043720703	0.032226562
5.168642578	0.032226562
5.293564453	0.032226562
5.402871094	0.033203125
5.527792969	0.036621094
5.637099609	0.037109375
5.746406250	0.040527344
5.871328125	0.041992187
5.980634766	0.045410156
6.089941406	0.046875000
6.214863281	0.051269531
6.324169922	0.052246094
6.433476563	0.056640625
6.558398438	0.057128906
6.667705078	0.060058594
6.792626953	0.057617187
6.901933594	0.058105469
7.026855469	0.053710937
7.136162109	0.053222656
7.261083984	0.048828125
7.370390625	0.047363281
7.479697266	0.042968750
7.604619141	0.042968750
7.713925781	0.039062500
7.823232422	0.039550781
7.948154297	0.036132812
8.026230469	0.037597656
8.151152344	0.035644531
8.260458984	0.037109375
8.385380859	0.036132812
8.494687500	0.039062500
8.619609375	0.038085937
8.728916016	0.041503906
8.853837891	0.041503906
8.963144531	0.045898437
9.072451172	0.046875000
9.197373047	0.051269531
9.322294922	0.052734375
9.415986328	0.057617187
9.540908203	0.059570312
9.650214844	0.066894531
9.775136719	0.068847656
9.884443359	0.076171875
9.993750000	0.079101562
10.118671875	0.086425781
10.243593750	0.089843750
10.352900391	0.098144531
10.462207031	0.102050781
10.571513672	0.110839844
10.696435547	0.115234375
10.805742187	0.124023437
10.930664062	0.129394531
11.039970703	0.138183594
11.164892578	0.143554687
11.274199219	0.151367187
11.399121094	0.153320312
11.508427734	0.158203125
11.617734375	0.156250000
11.742656250	0.156250000
11.851962891	0.148437500
11.945654297	0.144531250
12.070576172	0.134277344
12.164267578	0.129882812
12.304804687	0.118164062
12.398496094	0.112792969
12.539033203	0.101562500
12.648339844	0.096679687
12.757646484	0.086425781
12.866953125	0.083007812
12.991875000	0.073730469
13.101181641	0.071289062
13.210488281	0.065429687
13.335410156	0.066406250
13.444716797	0.062988281
13.569638672	0.065917969
13.678945312	0.065429687
13.803867187	0.070800781
13.913173828	0.071289062
14.022480469	0.078125000
14.131787109	0.080566406
14.256708984	0.087890625
14.366015625	0.091308594
14.490937500	0.099121094
14.600244141	0.103027344
14.709550781	0.111328125
14.834472656	0.116210937
14.943779297	0.125488281
15.068701172	0.130371094
15.178007813	0.139160156
15.287314453	0.145019531
15.396621094	0.155273437
15.521542969	0.161132812
15.646464844	0.170898437
15.755771484	0.177734375
15.880693359	0.187011719
15.974384766	0.193847656
16.083691406	0.202636719
16.192998047	0.207031250
16.317919922	0.212890625
16.427226562	0.213378906
16.552148438	0.215332031
16.645839844	0.214355469
16.786376953	0.208496094
16.880068359	0.201660156
17.004990234	0.196777344
17.114296875	0.186523437
17.239218750	0.179687500
17.364140625	0.167480469
17.473447266	0.158691406
17.582753906	0.145019531
17.707675781	0.136230469
17.816982422	0.123535156
17.926289063	0.115722656
18.051210937	0.104003906
